sample_id,question,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",fixed_256_25,0,2718594,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,fixed_256_25,0,2718594,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",sentence_s3,0,2060930,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,sentence_s3,0,2060930,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",sentence_s5,0,1237402,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,sentence_s5,0,1237402,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",recursive_512_50,0,1575226,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,recursive_512_50,0,1575226,0.3333333333333333,0.3333333333333333,0.5,0.2,1.0,0.33333333333333337
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",recursive_256_25,0,3191462,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,recursive_256_25,0,3191462,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",semantic_t0.7_miniLM,0,4774716,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,semantic_t0.7_miniLM,0,4774716,0.0,0.0,0.0,0.0,0.0,0.0
b03235dc-7c2e-4e9d-a733-46187ed9d457,"A CD single by the artist who included a version of the song ""Santa Claus Is Comin' to Town"" on the 1994 album Merry Christmas was included in a DVD release of the Rankin/Bass special from what year?",semantic_t0.85_miniLM,0,5796793,0.0,0.0,0.0,0.0,0.0,0.0
c1e48392-55f1-4b8a-9231-897654321abc,Who narrates the 1970 Rankin/Bass television special 'Santa Claus Is Comin' to Town'?,semantic_t0.85_miniLM,0,5796793,0.0,0.0,0.0,0.0,0.0,0.0
