sample_id,question,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
1700733897006170137,Where will failure of the left ventricle cause increased pressure?,fixed_512_50,0,1360250,0.25,0.3416666666666666,0.5316900945208328,0.3,1.5,0.49999999999999994
-5387108894429696891,India's first official entry at the oscars?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
-4940728134762297045,When did the fourth of july become a federal holiday?,fixed_512_50,0,1360250,0.14285714285714285,0.19642857142857142,0.39780880120575696,0.2,1.0,0.33333333333333337
4787318214029353325,How does australia power our towns and cities?,fixed_512_50,0,1360250,0.3333333333333333,0.3333333333333333,0.5,0.1,0.2,0.13333333333333333
-5572430132708246683,Who emphasized that education should be a social process?,fixed_512_50,0,1360250,1.0,0.6925170068027212,0.8513372772927025,0.7,1.0,0.8235294117647058
-4641261256336143941,Who says we'll leave the light on for you?,fixed_512_50,0,1360250,1.0,0.9166666666666666,0.9674679834891693,0.3,1.0,0.4615384615384615
592730581618903752,When was the last time a us submarine sunk?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
-4557617869928757559,Where does the civil liberties act place the blame for the internment of u.s. citizens?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
7398408404996880023,Raised line markers on the roadway and shoulder are used to define?,fixed_512_50,0,1360250,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.1,0.3333333333333333,0.15384615384615383
1853089893632674717,Who developed the recovery model in mental health?,fixed_512_50,0,1360250,0.5,0.5,0.6309297535714575,0.1,0.2,0.13333333333333333
-8651619018883977220,Who sings in spite of ourselves with john prine?,fixed_512_50,0,1360250,1.0,0.5821428571428571,0.7946775459209724,0.4,0.3333333333333333,0.3636363636363636
-4212884479837818807,Where did they film the girl with the dragon tattoo?,fixed_512_50,0,1360250,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.1,0.125,0.11111111111111112
-8314608371226617031,Who is left in produce 101 season 2?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
6920312499280332266,Who is the wife of lakshmana in ramayana?,fixed_512_50,0,1360250,1.0,1.0,1.0,1.0,5.0,1.6666666666666667
4380112669697797297,How many times has the us congress declared war?,fixed_512_50,0,1360250,0.5,0.3611111111111111,0.5714285040141098,0.2,1.0,0.33333333333333337
-937869146614381910,Most goals in one nhl game by a player?,fixed_512_50,0,1360250,1.0,0.9317956349206349,0.9782917460822231,0.8,4.0,1.3333333333333335
1686977533775896988,Record for cycling from lands end to john o'groats?,fixed_512_50,0,1360250,1.0,1.0,1.0,0.2,1.0,0.33333333333333337
904748327672745284,Who is known as the first and last female rules of the delhi sultanate?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
