sample_id,question,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
66811be2-b478-4c61-abb3-61d5e83750e9,Who was the first pope born in the country whose president was gifted a Telstar Mechta ball by Vladimir Putin at the 2018 Russia–United States Summit?,fixed_512_50,0,1360250,1.0,1.0,1.0,0.4,1.0,0.5714285714285715
77f8c8af-9ab8-44a8-9f67-eb8019e9b0f0,Which film had its world premiere in the same month and year that the book 'Physics for Scientists and Engineers' by Raymond A. Serway and John W. Jewett was published?,fixed_512_50,0,1360250,1.0,1.0,1.0,0.2,0.5,0.28571428571428575
592287bc-0075-4569-be1e-8d1ec3b8946e,What percentage of the world's desalinated water is produced by the type of distillation plant that was built in Australia between 1960 and 1980 alongside vapor-compression plants?,fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
70d6b8f0-0dc4-4f2c-ad20-64ebeb31accc,"Haddonfield, the setting of the film Halloween, was derived from a town in the state where producer Debra Hill was raised. On what date did that state ratify the U.S. Constitution?",fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
4f845d81-5873-42af-a5ec-f019e1f33d3b,What star rating did the organization that gave the series Every Witch Way 2 stars award to the film The Princess and the Frog?,fixed_512_50,0,1360250,0.25,0.25,0.43067655807339306,0.2,0.5,0.28571428571428575
8b0a16bb-0a95-40f1-a106-b577e8b58608,"In 2005, which American Music Award category was won by the band whose album 'Dookie' Josh Dun admitted to hiding under his bed?",fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
05ff6581-2d4f-44bb-932d-ba24fdce1417,After leaving which military force did John Newton become involved in the trade system in which John Locke was an investor through the Royal Africa Company?,fixed_512_50,0,1360250,0.25,0.25,0.43067655807339306,0.2,0.5,0.28571428571428575
6aca1dc8-2068-4b52-9c97-65591cbd5cff,"The spaceship Destiny in Stargate Universe is traveling billions of light years away from the galaxy that contains which arm, as listed in the Solar System location hierarchy?",fixed_512_50,0,1360250,0.0,0.0,0.0,0.0,0.0,0.0
d179f026-0b46-4c61-b3e2-1fa52bd5eb32,"In a leaked video, Amy Robach mentioned a law professor emeritus from the university where Amy Goodman graduated with a degree in anthropology. Who is this professor?",fixed_512_50,0,1360250,1.0,1.0,1.0,0.2,0.5,0.28571428571428575
12806751-f273-40dc-a314-c0466324f201,"What is the title of the article cited as a review for the album *Live Like You Were Dying* that was written by the author of ""Your weekly Idol sales fix: The album numbers""?",fixed_512_50,0,1360250,0.5,0.6388888888888888,0.7328286204777911,0.6,1.5,0.857142857142857
