sample_id,question,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k,ndcg@1,recall@1,precision@1,f1@1,mrr@1,map@1,ndcg@3,recall@3,precision@3,f1@3,mrr@3,map@3,ndcg@5,recall@5,precision@5,f1@5,mrr@5,map@5,ndcg@10,recall@10,precision@10,f1@10,mrr@10,map@10,ndcg@20,recall@20,precision@20,f1@20,mrr@20,map@20
1700733897006170137,Where will failure of the left ventricle cause increased pressure?,recursive_512_64,0,419888,1.0,0.5671052631578947,1.4748906793480154,0.25,2.5,0.45454545454545453,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.4,0.5714285714285715,1.0,1.0,1.1934264036172708,1.5,0.3,0.49999999999999994,1.0,0.7916666666666666,1.4748906793480154,2.5,0.25,0.45454545454545453,1.0,0.5671052631578947
-5387108894429696891,India's first official entry at the oscars?,recursive_512_64,0,419888,0.16666666666666666,0.19444444444444442,0.40298313359773236,0.1,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40298313359773236,1.0,0.2,0.33333333333333337,0.16666666666666666,0.19444444444444442,0.40298313359773236,1.0,0.1,0.18181818181818182,0.16666666666666666,0.19444444444444442
-4940728134762297045,When did the fourth of july become a federal holiday?,recursive_512_64,0,419888,1.0,1.0,1.0,0.1,1.0,0.18181818181818182,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.8,1.0,1.0,1.0,1.0,0.4,0.5714285714285715,1.0,1.0,1.0,1.0,0.2,0.33333333333333337,1.0,1.0,1.0,1.0,0.1,0.18181818181818182,1.0,1.0
4787318214029353325,How does australia power our towns and cities?,recursive_512_64,0,419888,0.1,0.1523809523809524,0.34190808573070514,0.2,0.8,0.32000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09803928583135704,0.2,0.1,0.13333333333333333,0.1,0.1,0.34190808573070514,0.8,0.2,0.32000000000000006,0.1,0.1523809523809524
-5572430132708246683,Who emphasized that education should be a social process?,recursive_512_64,0,419888,1.0,0.9339761248852159,1.3024219914292932,0.55,1.5714285714285714,0.8148148148148149,1.0,0.14285714285714285,1.0,0.25,1.0,1.0,1.0,0.42857142857142855,1.0,0.6,1.0,1.0,1.0,0.7142857142857143,1.0,0.8333333333333333,1.0,1.0,1.08274602130532,1.1428571428571428,0.8,0.9411764705882353,1.0,0.9861111111111112,1.3024219914292932,1.5714285714285714,0.55,0.8148148148148149,1.0,0.9339761248852159
-4641261256336143941,Who says we'll leave the light on for you?,recursive_512_64,0,419888,0.058823529411764705,0.058823529411764705,0.1125388887954676,0.05,0.3333333333333333,0.08695652173913045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1125388887954676,0.3333333333333333,0.05,0.08695652173913045,0.058823529411764705,0.058823529411764705
592730581618903752,When was the last time a us submarine sunk?,recursive_512_64,0,419888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-4557617869928757559,Where does the civil liberties act place the blame for the internment of u.s. citizens?,recursive_512_64,0,419888,0.5,0.31666666666666665,0.5401396054259062,0.1,1.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.38685280723454163,0.5,0.3333333333333333,0.4,0.5,0.5,0.38685280723454163,0.5,0.2,0.28571428571428575,0.5,0.5,0.38685280723454163,0.5,0.1,0.16666666666666669,0.5,0.5,0.5401396054259062,1.0,0.1,0.18181818181818182,0.5,0.31666666666666665
7398408404996880023,Raised line markers on the roadway and shoulder are used to define?,recursive_512_64,0,419888,1.0,1.0,0.46927872602275644,0.05,0.3333333333333333,0.08695652173913045,1.0,0.3333333333333333,1.0,0.5,1.0,1.0,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.46927872602275644,0.3333333333333333,0.2,0.25,1.0,1.0,0.46927872602275644,0.3333333333333333,0.1,0.15384615384615383,1.0,1.0,0.46927872602275644,0.3333333333333333,0.05,0.08695652173913045,1.0,1.0
1853089893632674717,Who developed the recovery model in mental health?,recursive_512_64,0,419888,1.0,1.0,0.5531464700081437,0.1,0.4,0.16000000000000003,1.0,0.2,1.0,0.33333333333333337,1.0,1.0,0.7653606369886217,0.4,0.6666666666666666,0.5,1.0,1.0,0.5531464700081437,0.4,0.4,0.4000000000000001,1.0,1.0,0.5531464700081437,0.4,0.2,0.26666666666666666,1.0,1.0,0.5531464700081437,0.4,0.1,0.16000000000000003,1.0,1.0
