sample_id,question,experiment,chunking_time_s,num_chunks,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
1700733897006170137,Where will failure of the left ventricle cause increased pressure?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-5387108894429696891,India's first official entry at the oscars?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-4940728134762297045,When did the fourth of july become a federal holiday?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
4787318214029353325,How does australia power our towns and cities?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-5572430132708246683,Who emphasized that education should be a social process?,fixed_128_12,0,5414625,0.25,0.25,0.43067655807339306,0.2,0.14285714285714285,0.16666666666666666
-4641261256336143941,Who says we'll leave the light on for you?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
592730581618903752,When was the last time a us submarine sunk?,fixed_128_12,0,5414625,0.3333333333333333,0.3333333333333333,0.5,0.2,0.2,0.20000000000000004
-4557617869928757559,Where does the civil liberties act place the blame for the internment of u.s. citizens?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
7398408404996880023,Raised line markers on the roadway and shoulder are used to define?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
1853089893632674717,Who developed the recovery model in mental health?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-8651619018883977220,Who sings in spite of ourselves with john prine?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-4212884479837818807,Where did they film the girl with the dragon tattoo?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-8314608371226617031,Who is left in produce 101 season 2?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
6920312499280332266,Who is the wife of lakshmana in ramayana?,fixed_128_12,0,5414625,0.5,0.5,0.6509209298071326,0.4,1.0,0.5714285714285715
4380112669697797297,How many times has the us congress declared war?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-937869146614381910,Most goals in one nhl game by a player?,fixed_128_12,0,5414625,0.3333333333333333,0.3666666666666667,0.5437713091520254,0.4,1.0,0.5714285714285715
1686977533775896988,Record for cycling from lands end to john o'groats?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
904748327672745284,Who is known as the first and last female rules of the delhi sultanate?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
5998037098651415370,Who is the father of accounting when and what did he describe?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
7798413250018014869,Who won the first two races of the triple crown?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-7252985658102667698,How does a black mamba kill its prey?,fixed_128_12,0,5414625,0.2,0.2,0.38685280723454163,0.2,0.2,0.20000000000000004
4519975394845720080,When did the last soldier of the civil war die?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
7409212130427337310,What us cities have the highest african american population?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
342892876431187521,Where does the saying the devil is beating his wife come from?,fixed_128_12,0,5414625,0.2,0.2,0.38685280723454163,0.2,0.16666666666666666,0.1818181818181818
8127742235395621028,When was the last year we had a total eclipse of the sun?,fixed_128_12,0,5414625,0.5,0.6791666666666667,0.7606395682357036,0.8,1.0,0.888888888888889
-7261007929947434226,Who played marla on a league of their own?,fixed_128_12,0,5414625,1.0,1.0,1.0,0.2,0.5,0.28571428571428575
7559558584911442009,First city in the us to have electricity?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-2573515732086036496,Where has the olympics been held the most?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-5409444124551037323,Who won last triple crown of horse racing?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
3039312494234023427,Who owns the senkaku/diaoyu dao islands?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-8482325704072084366,Who has made it to the nba finals the most?,fixed_128_12,0,5414625,0.5,0.6388888888888888,0.7328286204777911,0.6,0.75,0.6666666666666665
-4360618032625248256,American horror story freak show guy with little arms?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
3176084723484838766,When do you find out who red coat is?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
3810524430141178378,Who sings the song never tear us apart?,fixed_128_12,0,5414625,0.2,0.2,0.38685280723454163,0.2,0.3333333333333333,0.25
-6470852510656838548,When was the ukraine taken over by russia?,fixed_128_12,0,5414625,0.0,0.0,0.0,0.0,0.0,0.0
-1723838191101966019,What year was air conditioning put in cars?,fixed_128_12,0,5414625,1.0,1.0,1.0,0.2,0.5,0.28571428571428575
